Region,Coverage,West,South,East,North
Africa,Mainland,-17.54,-34.84,51.42,37.35
Africa,Islands,-25.36,-34.84,63.51,37.35
Europe,Mainland,-9.5,36,67.74,71.14
Europe,Islands,-31.28,34.8,69.05,81.86
GB,Mainland,-6.23,49.94,1.77,58.68
GB,Islands,-8.65,49.85,1.77,60.86
UK,Mainland,-8.18,49.94,1.77,58.68
UK,Islands,-8.65,49.85,1.77,60.86
BritishIsles,Mainland,-10.48,49.94,1.77,58.68
BritishIsles,Islands,-10.66,49.85,1.77,60.86
England,Mainland,-5.72,49.94,1.77,55.82
England,Islands,-6.45,49.85,1.77,55.82
Wales,Mainland,-5.32,51.38,-2.65,53.36
Wales,Islands,-5.67,51.37,-2.65,53.43
NI,Mainland,-8.18,54.02,-5.43,55.25
NI,Islands,-8.18,54.02,-5.43,55.3
Scotland,Mainland,-6.23,54.63,-1.76,58.68
Scotland,Islands,-8.65,54.63,-0.72,60.86
SouthAmerica,Mainland,-81.33,-53.9,-34.79,12.46
SouthAmerica,Islands,-92,-56.55,-29.31,12.63